,name,rating,review_date,reviewer,neighborhood,cuisine,review_link_1,review_link_2
11,Oxalis,1 star,"Feb. 26, 2019",Pete Wells,Crown Heights,American,https://www.nytimes.com/2019/02/26/dining/oxalis-restaurant-review.html,https://www.nytimes.com/2019/02/26/dining/oxalis-restaurant-review.html?rref=collection%2Fcollection%2Frestaurant-guide
12,Bistro Pierre Lapin,1 star,"Feb. 19, 2019",Pete Wells,West Village,French,https://www.nytimes.com/2019/02/19/dining/bistro-pierre-lapin-review.html,https://www.nytimes.com/2019/02/19/dining/bistro-pierre-lapin-review.html?rref=collection%2Fcollection%2Frestaurant-guide
13,Cherry Point,2 star,"Feb. 12, 2019",Pete Wells,Greenpoint,"American, English",https://www.nytimes.com/2019/02/12/dining/cherry-point-review.html,https://www.nytimes.com/2019/02/12/dining/cherry-point-review.html?rref=collection%2Fcollection%2Frestaurant-guide
14,Benno,3 star,"Jan. 15, 2019",Pete Wells,NoMad,"French, Italian",https://www.nytimes.com/2019/01/15/dining/benno-restaurant-review.html,https://www.nytimes.com/2019/01/15/dining/benno-restaurant-review.html?rref=collection%2Fcollection%2Frestaurant-guide
15,Bang Bar,1 star,"Jan. 8, 2019",Pete Wells,Midtown,Sandwiches,https://www.nytimes.com/2019/01/08/dining/momofuku-bang-bar-review.html,https://www.nytimes.com/2019/01/08/dining/momofuku-bang-bar-review.html?rref=collection%2Fcollection%2Frestaurant-guide
16,Hwaban,2 star,"Dec. 31, 2018",Pete Wells,Chelsea,Korean,https://www.nytimes.com/2018/12/31/dining/hwaban-korean-restaurant-review.html,https://www.nytimes.com/2018/12/31/dining/hwaban-korean-restaurant-review.html?rref=collection%2Fcollection%2Frestaurant-guide
17,Bluebird London,0.5 star,"Dec. 18, 2018",Pete Wells,Midtown,"American, English",https://www.nytimes.com/2018/12/18/dining/bluebird-london-review.html,https://www.nytimes.com/2018/12/18/dining/bluebird-london-review.html?rref=collection%2Fcollection%2Frestaurant-guide
18,The Four Seasons Restaurant,1 star,"Dec. 4, 2018",Pete Wells,Midtown,Seafood,https://www.nytimes.com/2018/12/04/dining/four-seasons-review.html,https://www.nytimes.com/2018/12/04/dining/four-seasons-review.html?rref=collection%2Fcollection%2Frestaurant-guide
19,Saint Julivert Fisherie,1 star,"Nov. 27, 2018",Pete Wells,Cobble Hill,Seafood,https://www.nytimes.com/2018/11/27/dining/saint-julivert-fisherie-review.html,https://www.nytimes.com/2018/11/27/dining/saint-julivert-fisherie-review.html?rref=collection%2Fcollection%2Frestaurant-guide
20,Adda Indian Canteen,2 star,"Nov. 20, 2018",Pete Wells,Long Island City,Indian,https://www.nytimes.com/2018/11/20/dining/adda-indian-canteen-review.html,https://www.nytimes.com/2018/11/20/dining/adda-indian-canteen-review.html?rref=collection%2Fcollection%2Frestaurant-guide
21,Misi,3 star,"Nov. 13, 2018",Pete Wells,Williamsburg,Italian,https://www.nytimes.com/2018/11/13/dining/misi-restaurant-review.html,https://www.nytimes.com/2018/11/13/dining/misi-restaurant-review.html?rref=collection%2Fcollection%2Frestaurant-guide
22,Mama’s Too,1 star,"Nov. 6, 2018",Pete Wells,Upper West Side,Pizza,https://www.nytimes.com/2018/11/06/dining/mamas-too-review.html,https://www.nytimes.com/2018/11/06/dining/mamas-too-review.html?rref=collection%2Fcollection%2Frestaurant-guide
23,Henry at Life Hotel by JJ,1 star,"Oct. 30, 2018",Pete Wells,Midtown,"African, American",https://www.nytimes.com/2018/10/30/dining/henry-at-life-hotel-by-jj-review.html,https://www.nytimes.com/2018/10/30/dining/henry-at-life-hotel-by-jj-review.html?rref=collection%2Fcollection%2Frestaurant-guide
24,Hunan Slurp,2 star,"Oct. 23, 2018",Pete Wells,East Village,Chinese,https://www.nytimes.com/2018/10/23/dining/hunan-slurp-review.html,https://www.nytimes.com/2018/10/23/dining/hunan-slurp-review.html?rref=collection%2Fcollection%2Frestaurant-guide
25,Atomix,3 star,"Oct. 16, 2018",Pete Wells,Murray Hill,Korean,https://www.nytimes.com/2018/10/16/dining/atomix-review-korean.html,https://www.nytimes.com/2018/10/16/dining/atomix-review-korean.html?rref=collection%2Fcollection%2Frestaurant-guide
26,Manhatta,1 star,"Oct. 9, 2018",Pete Wells,Financial District,French,https://www.nytimes.com/2018/10/09/dining/manhatta-restaurant-review.html,https://www.nytimes.com/2018/10/09/dining/manhatta-restaurant-review.html?rref=collection%2Fcollection%2Frestaurant-guide
27,Village Cafe,2 star,"Oct. 2, 2018",Pete Wells,Midwood,Eastern European ,https://www.nytimes.com/2018/10/02/dining/village-cafe-review-brooklyn.html,https://www.nytimes.com/2018/10/02/dining/village-cafe-review-brooklyn.html?rref=collection%2Fcollection%2Frestaurant-guide
28,Kopitiam,1 star,"Sept. 25, 2018",Pete Wells,Chinatown,Malaysian,https://www.nytimes.com/2018/09/25/dining/kopitiam-restaurant-review.html,https://www.nytimes.com/2018/09/25/dining/kopitiam-restaurant-review.html?rref=collection%2Fcollection%2Frestaurant-guide
29,Shoji at 69 Leonard Street,3 star,"Sept. 18, 2018",Pete Wells,TriBeCa,Japanese,https://www.nytimes.com/2018/09/18/dining/shoji-at-69-leonard-street-review.html,https://www.nytimes.com/2018/09/18/dining/shoji-at-69-leonard-street-review.html?rref=collection%2Fcollection%2Frestaurant-guide
30,Sofreh,2 star,"Sept. 11, 2018",Pete Wells,Prospect Heights,Middle Eastern,https://www.nytimes.com/2018/09/11/dining/sofreh-review.html,https://www.nytimes.com/2018/09/11/dining/sofreh-review.html?rref=collection%2Fcollection%2Frestaurant-guide
31,Nobu 57,1 star,"Aug. 21, 2018",Pete Wells,Midtown,"Japanese, Sushi",https://www.nytimes.com/2018/08/21/dining/nobu-downtown-review-nobu-57.html,https://www.nytimes.com/2018/08/21/dining/nobu-downtown-review-nobu-57.html?rref=collection%2Fcollection%2Frestaurant-guide
32,Le Sia,1 star,"Aug. 14, 2018",Pete Wells,East Village,Chinese,https://www.nytimes.com/2018/08/14/dining/le-sia-review.html,https://www.nytimes.com/2018/08/14/dining/le-sia-review.html?rref=collection%2Fcollection%2Frestaurant-guide
33,Gem,2 star,"Aug. 7, 2018",Pete Wells,Lower East Side,American,https://www.nytimes.com/2018/08/07/dining/gem-review-flynn-mcgarry.html,https://www.nytimes.com/2018/08/07/dining/gem-review-flynn-mcgarry.html?rref=collection%2Fcollection%2Frestaurant-guide
34,Coco Pazzo Trattoria,1 star,"July 31, 2018",Pete Wells,SoHo,Italian,https://www.nytimes.com/2018/07/31/dining/coco-pazzo-trattoria-yves-review.html,https://www.nytimes.com/2018/07/31/dining/coco-pazzo-trattoria-yves-review.html?rref=collection%2Fcollection%2Frestaurant-guide
35,Yves,1 star,"July 31, 2018",Pete Wells,TriBeCa,French,https://www.nytimes.com/2018/07/31/dining/coco-pazzo-trattoria-yves-review.html,https://www.nytimes.com/2018/07/31/dining/coco-pazzo-trattoria-yves-review.html?rref=collection%2Fcollection%2Frestaurant-guide
36,The Bar at Momofuku Ko,2 star,"July 24, 2018",Pete Wells,East Village,American,https://www.nytimes.com/2018/07/24/dining/momofuku-ko-bar-review.html,https://www.nytimes.com/2018/07/24/dining/momofuku-ko-bar-review.html?rref=collection%2Fcollection%2Frestaurant-guide
37,Una Pizza Napoletana,1 star,"July 17, 2018",Pete Wells,Lower East Side,Italian,https://www.nytimes.com/2018/07/17/dining/una-pizza-napoletana-review.html,https://www.nytimes.com/2018/07/17/dining/una-pizza-napoletana-review.html?rref=collection%2Fcollection%2Frestaurant-guide
38,Frenchette,3 star,"July 10, 2018",Pete Wells,TriBeCa,French,https://www.nytimes.com/2018/07/10/dining/frenchette-review-restaurant-tribeca.html,https://www.nytimes.com/2018/07/10/dining/frenchette-review-restaurant-tribeca.html?rref=collection%2Fcollection%2Frestaurant-guide
39,Restaurant Nippon,1 star,"July 3, 2018",Pete Wells,Midtown,Japanese,https://www.nytimes.com/2018/07/03/dining/restaurant-nippon-review.html,https://www.nytimes.com/2018/07/03/dining/restaurant-nippon-review.html?rref=collection%2Fcollection%2Frestaurant-guide
40,The Islands,1 star,"June 26, 2018",Pete Wells,Crown Heights,Caribbean,https://www.nytimes.com/2018/06/26/dining/the-islands-review.html,https://www.nytimes.com/2018/06/26/dining/the-islands-review.html?rref=collection%2Fcollection%2Frestaurant-guide
41,Legacy Records,2 star,"June 19, 2018",Pete Wells,Hudson Yards,Italian,https://www.nytimes.com/2018/06/19/dining/legacy-records-review.html,https://www.nytimes.com/2018/06/19/dining/legacy-records-review.html?rref=collection%2Fcollection%2Frestaurant-guide
42,Shabushabu Macoron,2 star,"June 12, 2018",Pete Wells,Lower East Side,Japanese,https://www.nytimes.com/2018/06/12/dining/shabushabu-macoron-review.html,https://www.nytimes.com/2018/06/12/dining/shabushabu-macoron-review.html?rref=collection%2Fcollection%2Frestaurant-guide
43,Don Angie,2 star,"May 29, 2018",Pete Wells,West Village,"American, Italian",https://www.nytimes.com/2018/05/29/dining/don-angie-review.html,https://www.nytimes.com/2018/05/29/dining/don-angie-review.html?rref=collection%2Fcollection%2Frestaurant-guide
44,Wokuni,1 star,"May 22, 2018",Pete Wells,Midtown,"Japanese, Seafood",https://www.nytimes.com/2018/05/22/dining/wokuni-sushi-japanese-restaurant.html,https://www.nytimes.com/2018/05/22/dining/wokuni-sushi-japanese-restaurant.html?rref=collection%2Fcollection%2Frestaurant-guide
45,Simon & the Whale,2 star,"May 15, 2018",Pete Wells,Flatiron,American,https://www.nytimes.com/2018/05/15/dining/simon-and-the-whale-restaurant-review-flatiron.html,https://www.nytimes.com/2018/05/15/dining/simon-and-the-whale-restaurant-review-flatiron.html?rref=collection%2Fcollection%2Frestaurant-guide
46,Soogil,2 star,"May 8, 2018",Pete Wells,East Village,Korean,https://www.nytimes.com/2018/05/08/dining/soogil-review-east-village.html,https://www.nytimes.com/2018/05/08/dining/soogil-review-east-village.html?rref=collection%2Fcollection%2Frestaurant-guide
47,La Mercerie,2 star,"May 1, 2018",Pete Wells,SoHo,French,https://www.nytimes.com/2018/05/01/dining/la-mercerie-review-soho.html,https://www.nytimes.com/2018/05/01/dining/la-mercerie-review-soho.html?rref=collection%2Fcollection%2Frestaurant-guide
48,Claro,2 star,"April 3, 2018",Pete Wells,Gowanus,Mexican,https://www.nytimes.com/2018/04/03/dining/claro-review-brooklyn-oaxacan.html,https://www.nytimes.com/2018/04/03/dining/claro-review-brooklyn-oaxacan.html?rref=collection%2Fcollection%2Frestaurant-guide
49,Chez Ma Tante,2 star,"March 27, 2018",Pete Wells,Greenpoint,"American, European",https://www.nytimes.com/2018/03/27/dining/chez-ma-tante-review-brookyn.html,https://www.nytimes.com/2018/03/27/dining/chez-ma-tante-review-brookyn.html?rref=collection%2Fcollection%2Frestaurant-guide
50,JuneBaby,3 star,"March 15, 2018",Pete Wells,Ravenna,Southern,https://www.nytimes.com/2018/03/15/dining/junebaby-review-seattle-black-southern-food.html,https://www.nytimes.com/2018/03/15/dining/junebaby-review-seattle-black-southern-food.html?rref=collection%2Fcollection%2Frestaurant-guide
51,DaDong,0.75 star,"March 6, 2018",Pete Wells,Midtown,Chinese,https://www.nytimes.com/2018/03/06/dining/dadong-review-midtown-chinese-peking-duck.html,https://www.nytimes.com/2018/03/06/dining/dadong-review-midtown-chinese-peking-duck.html?rref=collection%2Fcollection%2Frestaurant-guide
52,L’Atelier de Joël Robuchon,2 star,"Feb. 27, 2018",Pete Wells,Chelsea,French,https://www.nytimes.com/2018/02/27/dining/latelier-de-joel-robuchon-review.html,https://www.nytimes.com/2018/02/27/dining/latelier-de-joel-robuchon-review.html?rref=collection%2Fcollection%2Frestaurant-guide
53,Tetsu,2 star,"Feb. 20, 2018",Pete Wells,TriBeCa,"American, Japanese",https://www.nytimes.com/2018/02/20/dining/tetsu-review-tribeca-masayoshi-takayama.html,https://www.nytimes.com/2018/02/20/dining/tetsu-review-tribeca-masayoshi-takayama.html?rref=collection%2Fcollection%2Frestaurant-guide
54,Hwa Yuan Szechuan,2 star,"Feb. 13, 2018",Pete Wells,Chinatown,Chinese,https://www.nytimes.com/2018/02/13/dining/hwa-yuan-szechuan-review-chinese-food.html,https://www.nytimes.com/2018/02/13/dining/hwa-yuan-szechuan-review-chinese-food.html?rref=collection%2Fcollection%2Frestaurant-guide
55,"The Aviary NYC, The Office NYC",2 star,"Feb. 6, 2018",Pete Wells,Upper West Side,American,https://www.nytimes.com/2018/02/06/dining/grant-achatz-office-aviary-review.html,https://www.nytimes.com/2018/02/06/dining/grant-achatz-office-aviary-review.html?rref=collection%2Fcollection%2Frestaurant-guide
56,The Lobster Club,1 star,"Jan. 30, 2018",Pete Wells,Midtown East,Japanese,https://www.nytimes.com/2018/01/30/dining/the-lobster-club-review.html,https://www.nytimes.com/2018/01/30/dining/the-lobster-club-review.html?rref=collection%2Fcollection%2Frestaurant-guide
57,Ferris,2 star,"Jan. 9, 2018",Pete Wells,Chelsea,American,https://www.nytimes.com/2018/01/09/dining/ferris-review-chelsea.html,https://www.nytimes.com/2018/01/09/dining/ferris-review-chelsea.html?rref=collection%2Fcollection%2Frestaurant-guide
58,The Loyal,2 star,"Dec. 26, 2017",Pete Wells,Greenwich Village,American,https://www.nytimes.com/2017/12/26/dining/the-loyal-review-nyc.html,https://www.nytimes.com/2017/12/26/dining/the-loyal-review-nyc.html?rref=collection%2Fcollection%2Frestaurant-guide
59,Wallsé,1 star,"Dec. 19, 2017",Pete Wells,West Village,Austrian,https://www.nytimes.com/2017/12/19/dining/wallse-review-austrian-restaurant.html,https://www.nytimes.com/2017/12/19/dining/wallse-review-austrian-restaurant.html?rref=collection%2Fcollection%2Frestaurant-guide
60,Jeju Noodle Bar,2 star,"Dec. 5, 2017",Pete Wells,West Village,Korean,https://www.nytimes.com/2017/12/05/dining/jeju-noodle-bar-review-korean-ramen.html,https://www.nytimes.com/2017/12/05/dining/jeju-noodle-bar-review-korean-ramen.html?rref=collection%2Fcollection%2Frestaurant-guide
61,Ugly Baby,2 star,"Nov. 28, 2017",Pete Wells,Carroll Gardens,Thai,https://www.nytimes.com/2017/11/28/dining/ugly-baby-review-thai-brooklyn.html,https://www.nytimes.com/2017/11/28/dining/ugly-baby-review-thai-brooklyn.html?rref=collection%2Fcollection%2Frestaurant-guide
62,Cote,2 star,"Nov. 14, 2017",Pete Wells,Flatiron,Korean,https://www.nytimes.com/2017/11/14/dining/cote-review-korean-barbecue.html,https://www.nytimes.com/2017/11/14/dining/cote-review-korean-barbecue.html?rref=collection%2Fcollection%2Frestaurant-guide
63,Sen Sakana,1 star,"Nov. 7, 2017",Pete Wells,Midtown,"Japanese, Latin American",https://www.nytimes.com/2017/11/07/dining/sen-sakana-review-peruvian-food-nikkei.html,https://www.nytimes.com/2017/11/07/dining/sen-sakana-review-peruvian-food-nikkei.html?rref=collection%2Fcollection%2Frestaurant-guide
64,Momofuku Ssam Bar,3 star,"Oct. 31, 2017",Pete Wells,East Village,"American, Korean, Southeast Asian",https://www.nytimes.com/2017/10/31/dining/momofuku-ssam-bar-review.html,https://www.nytimes.com/2017/10/31/dining/momofuku-ssam-bar-review.html?rref=collection%2Fcollection%2Frestaurant-guide
65,The Pool,2 star,"Oct. 17, 2017",Pete Wells,Midtown,"American, Seafood",https://www.nytimes.com/2017/10/17/dining/the-pool-review.html,https://www.nytimes.com/2017/10/17/dining/the-pool-review.html?rref=collection%2Fcollection%2Frestaurant-guide
66,Public Kitchen,1 star,"Oct. 10, 2017",Pete Wells,Lower East Side,"American, Chinese, Italian",https://www.nytimes.com/2017/10/10/dining/public-kitchen-review-jean-georges-vongerichten-nyc.html,https://www.nytimes.com/2017/10/10/dining/public-kitchen-review-jean-georges-vongerichten-nyc.html?rref=collection%2Fcollection%2Frestaurant-guide
67,Oberlin,2 star,"Oct. 3, 2017",Pete Wells,"Providence, RI","American, Italian, Seafood",https://www.nytimes.com/2017/10/03/dining/oberlin-restaurant-review-providence.html,https://www.nytimes.com/2017/10/03/dining/oberlin-restaurant-review-providence.html?rref=collection%2Fcollection%2Frestaurant-guide
68,Cervo’s,1 star,"Sept. 26, 2017",Pete Wells,Lower East Side,"Portuguese, Seafood, Spanish",https://www.nytimes.com/2017/09/26/dining/cervos-review-restaurant.html,https://www.nytimes.com/2017/09/26/dining/cervos-review-restaurant.html?rref=collection%2Fcollection%2Frestaurant-guide
69,Prune,2 star,"Sept. 19, 2017",Pete Wells,East Village,New American,https://www.nytimes.com/2017/09/19/dining/prune-review.html,https://www.nytimes.com/2017/09/19/dining/prune-review.html?rref=collection%2Fcollection%2Frestaurant-guide
70,Razza,3 star,"Sept. 12, 2017",Pete Wells,NaN,Pizza,https://www.nytimes.com/2017/09/12/dining/razza-pizza-review-jersey-city.html,https://www.nytimes.com/2017/09/12/dining/razza-pizza-review-jersey-city.html?rref=collection%2Fcollection%2Frestaurant-guide
71,The Grill,3 star,"Aug. 22, 2017",Pete Wells,Midtown,American,https://www.nytimes.com/2017/08/22/dining/the-grill-review-midtown.html,https://www.nytimes.com/2017/08/22/dining/the-grill-review-midtown.html?rref=collection%2Fcollection%2Frestaurant-guide
72,Made Nice,0.75 star,"Aug. 15, 2017",Pete Wells,NoMad,"American, Salads",https://www.nytimes.com/2017/08/15/dining/made-nice-restaurant-review.html,https://www.nytimes.com/2017/08/15/dining/made-nice-restaurant-review.html?rref=collection%2Fcollection%2Frestaurant-guide
73,Nur,2 star,"Aug. 8, 2017",Pete Wells,Flatiron,Middle Eastern,https://www.nytimes.com/2017/08/08/dining/nur-review-middle-eastern-restaurant.html,https://www.nytimes.com/2017/08/08/dining/nur-review-middle-eastern-restaurant.html?rref=collection%2Fcollection%2Frestaurant-guide
74,Guan Fu Sichuan,3 star,"Aug. 1, 2017",Pete Wells,Flushing,Chinese,https://www.nytimes.com/2017/08/01/dining/guan-fu-sichuan-review.html,https://www.nytimes.com/2017/08/01/dining/guan-fu-sichuan-review.html?rref=collection%2Fcollection%2Frestaurant-guide
75,Atla,2 star,"July 25, 2017",Pete Wells,NoHo,Mexican,https://www.nytimes.com/2017/07/25/dining/atla-review-mexican-restaurant-noho.html,https://www.nytimes.com/2017/07/25/dining/atla-review-mexican-restaurant-noho.html?rref=collection%2Fcollection%2Frestaurant-guide
76,Little Tong Noodle Shop,2 star,"July 11, 2017",Pete Wells,East Village,Chinese,https://www.nytimes.com/2017/07/11/dining/little-tong-noodle-shop-review-east-village.html,https://www.nytimes.com/2017/07/11/dining/little-tong-noodle-shop-review-east-village.html?rref=collection%2Fcollection%2Frestaurant-guide
77,ABCV,2 star,"July 3, 2017",Pete Wells,Flatiron,"Vegan, Vegetarian",https://www.nytimes.com/2017/07/03/dining/abcv-review-vegetables-restaurant-jean-georges-vongerichten.html,https://www.nytimes.com/2017/07/03/dining/abcv-review-vegetables-restaurant-jean-georges-vongerichten.html?rref=collection%2Fcollection%2Frestaurant-guide
78,Empellón,3 star,"June 27, 2017",Pete Wells,Midtown,"American, Mexican",https://www.nytimes.com/2017/06/27/dining/empellon-review-mexican-midtown.html,https://www.nytimes.com/2017/06/27/dining/empellon-review-mexican-midtown.html?rref=collection%2Fcollection%2Frestaurant-guide
79,Don Peppe,1 star,"June 20, 2017",Pete Wells,South Ozone Park,"American, Italian",https://www.nytimes.com/2017/06/20/dining/don-peppe-review-italian-american-restaurant-queens.html,https://www.nytimes.com/2017/06/20/dining/don-peppe-review-italian-american-restaurant-queens.html?rref=collection%2Fcollection%2Frestaurant-guide
80,King,2 star,"June 6, 2017",Pete Wells,SoHo,"French, Italian",https://www.nytimes.com/2017/06/06/dining/king-restaurant-review-soho.html,https://www.nytimes.com/2017/06/06/dining/king-restaurant-review-soho.html?rref=collection%2Fcollection%2Frestaurant-guide
81,Pinch Chinese,1 star,"May 30, 2017",Pete Wells,SoHo,Chinese,https://www.nytimes.com/2017/05/30/dining/tim-ho-wan-review-pinch-chinese-restaurant-dim-sum-dumpling.html,https://www.nytimes.com/2017/05/30/dining/tim-ho-wan-review-pinch-chinese-restaurant-dim-sum-dumpling.html?rref=collection%2Fcollection%2Frestaurant-guide
82,Tim Ho Wan,1 star,"May 30, 2017",Pete Wells,East Village,"Chinese, Dim Sum",https://www.nytimes.com/2017/05/30/dining/tim-ho-wan-review-pinch-chinese-restaurant-dim-sum-dumpling.html,https://www.nytimes.com/2017/05/30/dining/tim-ho-wan-review-pinch-chinese-restaurant-dim-sum-dumpling.html?rref=collection%2Fcollection%2Frestaurant-guide
83,Italienne,1 star,"May 22, 2017",Pete Wells,Flatiron,"French, Italian",https://www.nytimes.com/2017/05/22/dining/italienne-review-restaurant-jared-sippel.html,https://www.nytimes.com/2017/05/22/dining/italienne-review-restaurant-jared-sippel.html?rref=collection%2Fcollection%2Frestaurant-guide
84,Pig Bleecker,1 star,"May 16, 2017",Pete Wells,Greenwich Village,American,https://www.nytimes.com/2017/05/16/dining/pig-bleecker-review-greenwich-village.html,https://www.nytimes.com/2017/05/16/dining/pig-bleecker-review-greenwich-village.html?rref=collection%2Fcollection%2Frestaurant-guide
85,Atoboy,2 star,"May 9, 2017",Pete Wells,NoMad,Korean,https://www.nytimes.com/2017/05/09/dining/atoboy-review-korean-restaurant-nyc.html,https://www.nytimes.com/2017/05/09/dining/atoboy-review-korean-restaurant-nyc.html?rref=collection%2Fcollection%2Frestaurant-guide
86,Loring Place,2 star,"May 2, 2017",Pete Wells,Greenwich Village,American,https://www.nytimes.com/2017/05/02/dining/loring-place-review-greenwich-village.html,https://www.nytimes.com/2017/05/02/dining/loring-place-review-greenwich-village.html?rref=collection%2Fcollection%2Frestaurant-guide
87,Union Square Cafe,3 star,"April 25, 2017",Pete Wells,Gramercy Park,"American, Italian",https://www.nytimes.com/2017/04/25/dining/union-square-cafe-review.html,https://www.nytimes.com/2017/04/25/dining/union-square-cafe-review.html?rref=collection%2Fcollection%2Frestaurant-guide
88,Torishin,3 star,"April 11, 2017",Pete Wells,Clinton,Japanese,https://www.nytimes.com/2017/04/11/dining/torishin-review-japanese-yakitori.html,https://www.nytimes.com/2017/04/11/dining/torishin-review-japanese-yakitori.html?rref=collection%2Fcollection%2Frestaurant-guide
89,Babbo,2 star,"April 4, 2017",Pete Wells,Greenwich Village,Italian,https://www.nytimes.com/2017/04/04/dining/babbo-review-pete-wells.html,https://www.nytimes.com/2017/04/04/dining/babbo-review-pete-wells.html?rref=collection%2Fcollection%2Frestaurant-guide
90,Augustine,1 star,"March 28, 2017",Pete Wells,Financial District,"American, French",https://www.nytimes.com/2017/03/28/dining/augustine-review-french-food-nyc-keith-mcnally.html,https://www.nytimes.com/2017/03/28/dining/augustine-review-french-food-nyc-keith-mcnally.html?rref=collection%2Fcollection%2Frestaurant-guide
91,Sugarfish by Sushi Nozawa,0.5 star,"March 21, 2017",Pete Wells,Flatiron,"Japanese, Sushi",https://www.nytimes.com/2017/03/21/dining/sugarfish-by-sushi-nozawa-review.html,https://www.nytimes.com/2017/03/21/dining/sugarfish-by-sushi-nozawa-review.html?rref=collection%2Fcollection%2Frestaurant-guide
92,Franklin Barbecue,2 star,"March 14, 2017",Pete Wells,"Austin, Tex.","American, Barbecue",https://www.nytimes.com/2017/03/14/dining/franklin-barbecue-review.html,https://www.nytimes.com/2017/03/14/dining/franklin-barbecue-review.html?rref=collection%2Fcollection%2Frestaurant-guide
93,Sahib,2 star,"Feb. 21, 2017",Pete Wells,Kips Bay,Indian,https://www.nytimes.com/2017/02/21/dining/sahib-review-indian-restaurant-nyc.html,https://www.nytimes.com/2017/02/21/dining/sahib-review-indian-restaurant-nyc.html?rref=collection%2Fcollection%2Frestaurant-guide
94,Chinese Tuxedo,2 star,"Feb. 14, 2017",Pete Wells,Chinatown,Chinese,https://www.nytimes.com/2017/02/14/dining/chinese-tuxedo-restaurant-review.html,https://www.nytimes.com/2017/02/14/dining/chinese-tuxedo-restaurant-review.html?rref=collection%2Fcollection%2Frestaurant-guide
95,Chumley’s,2 star,"Jan. 31, 2017",Pete Wells,West Village,American,https://www.nytimes.com/2017/01/31/dining/chumleys-review-bar-west-village.html,https://www.nytimes.com/2017/01/31/dining/chumleys-review-bar-west-village.html?rref=collection%2Fcollection%2Frestaurant-guide
96,Fowler & Wells,2 star,"Jan. 24, 2017",Pete Wells,Financial District,American,https://www.nytimes.com/2017/01/24/dining/fowler-and-wells-restaurant-review-beekman-hotel.html,https://www.nytimes.com/2017/01/24/dining/fowler-and-wells-restaurant-review-beekman-hotel.html?rref=collection%2Fcollection%2Frestaurant-guide
97,Ichiran,1 star,"Jan. 17, 2017",Pete Wells,Bushwick,Japanese,https://www.nytimes.com/2017/01/17/dining/ichiran-review-ramen-brooklyn.html,https://www.nytimes.com/2017/01/17/dining/ichiran-review-ramen-brooklyn.html?rref=collection%2Fcollection%2Frestaurant-guide
